1613400300000,47722.01000000,47832.81000000,47472.92000000,47564.16000000,870.01372200,1613401199999,41502514.55301177,22309,378.43906800,18055030.41406599,0
1613401200000,47563.58000000,47847.82000000,47536.15000000,47734.85000000,634.43998400,1613402099999,30280786.16675128,21891,325.63557300,15542973.27532211,0
1613402100000,47734.84000000,47878.95000000,47600.00000000,47813.98000000,556.11545700,1613402999999,26563292.98235159,21825,309.72240200,14795804.00657600,0
1613403000000,47813.97000000,47924.69000000,47750.00000000,47911.19000000,442.98450800,1613403899999,21182744.78600626,20419,213.09926800,10190630.86446476,0
1613403900000,47911.19000000,48000.00000000,47856.47000000,47938.83000000,552.91043200,1613404799999,26500895.49674143,21478,274.66635900,13163994.03949071,0
1613404800000,47938.84000000,48193.14000000,47938.83000000,48127.43000000,1057.33433500,1613405699999,50859802.05716379,30643,514.35337300,24739356.00050077,0
1613405700000,48127.43000000,48570.75000000,48127.43000000,48460.00000000,1306.37406700,1613406599999,63220186.60930849,33369,692.24859000,33504842.14710748,0
1613406600000,48460.01000000,48556.64000000,48323.55000000,48382.50000000,957.08981900,1613407499999,46344905.23675300,21714,384.90302200,18635036.95164210,0
1613407500000,48381.26000000,48533.93000000,48300.34000000,48494.96000000,532.55053100,1613408399999,25797914.88612125,18005,293.07165800,14197380.39020888,0
1613408400000,48494.97000000,48790.00000000,48494.96000000,48587.00000000,1055.43797900,1613409299999,51390989.63755186,26931,569.29222000,27718949.32062929,0
1613409300000,48586.99000000,48800.00000000,48543.07000000,48678.78000000,593.33575100,1613410199999,28892877.75582808,17243,311.83977300,15184646.91405875,0
1613410200000,48678.78000000,48766.72000000,48501.50000000,48572.56000000,516.75487100,1613411099999,25135354.65185513,15872,269.83695300,13124821.82898846,0
1613411100000,48574.97000000,48670.28000000,48399.23000000,48562.31000000,558.38543200,1613411999999,27106577.30003364,16286,277.79561500,13485686.00958484,0
1613412000000,48562.31000000,48698.52000000,48503.04000000,48507.43000000,533.48375800,1613412899999,25926334.64453808,17677,248.52552700,12078247.88788423,0
1613412900000,48507.43000000,48628.92000000,48390.47000000,48416.22000000,596.88195200,1613413799999,28968933.69662404,15222,297.24713500,14429036.09106767,0
1613413800000,48416.23000000,48567.13000000,48410.79000000,48482.05000000,440.85980300,1613414699999,21375377.73576202,13467,220.99780000,10715694.45490572,0
